code,region,new_old,store_name_main,location_main,closed,doo,parent,brand_order,location_tl,loc_order,sba,ca
2,East & NE,2526FY,PLANET FASHION,Vega Circle Mall,2026-04-30,2017-06-24,ABFRL,0,Vega Circle-Siliguri,32,2005.0,1383.0
6,East & NE,2526FY,SUCCESS,Cosmos Mall,,2016-04-15,AFPL,2,Cosmos Mall-Siliguri,10,610.0,366.0
9,East & NE,2526FY,COBB,Cosmos Mall,,2017-08-26,CAPL,3,Cosmos Mall-Siliguri,11,948.0,569.0
10,East & NE,2526FY,CALVIN KLEIN,Vega Circle Mall,,2017-12-15,CKAFL,4,Vega Circle-Siliguri,33,1086.0,750.0
18,East & NE,2526FY,FREEDOM FASHION,Cosmos Mall,,2008-04-27,GJ,8,Cosmos Mall-Siliguri,12,2956.0,2036.0
22,East & NE,2526FY,MADAME,Cosmos Mall,,2008-04-01,JACPL,10,Cosmos Mall-Siliguri,13,942.0,565.0
23,East & NE,2526FY,MADAME,City Centre,,2016-07-07,JACPL,9,City Centre-Siliguri,1,1254.0,776.0
25,East & NE,2526FY,BINGE,Cosmos Mall,,2015-10-27,JFPL,12,Cosmos Mall-Siliguri,14,584.0,365.0
35,East & NE,2526FY,CASUALS,Hill Cart Road,,2008-04-01,ORP,15,High Street-Siliguri,20,150.0,150.0
37,East & NE,2526FY,COLORPLUS,City Centre,,2012-04-16,RAL,16,City Centre-Siliguri,2,898.0,557.0
40,East & NE,2526FY,COLORPLUS,"Mani Square,Kol",,2017-05-01,RAL,18,Kolkatta,25,1950.0,1071.0
41,East & NE,2526FY,COLORPLUS,"Salt Lake,Kol",,2017-05-01,RAL,19,Kolkatta,26,1810.0,1270.0
42,East & NE,2526FY,SABHYATA,City Centre,,2017-12-07,SAB,21,City Centre-Siliguri,3,1077.0,668.0
45,East & NE,2526FY,FREEDOM FASHION,City Centre,,2011-04-01,GJ,7,City Centre-Siliguri,4,2000.0,1240.0
47,East & NE,2526FY,TURTLE,Cosmos Mall,,2011-04-01,TL,26,Cosmos Mall-Siliguri,15,942.0,473.0
54,East & NE,2526FY,COLORPLUS,Jamshedpur,,2018-09-23,RAL,17,Jamshedpur,23,915.0,915.0
56,East & NE,2526FY,MANYAVAR,City Centre,,2011-04-29,VFL,31,City Centre-Siliguri,5,937.0,581.0
58,East & NE,2526FY,MANYAVAR & MOHEY,Sevok Road,,2016-08-27,VFL,41,High Street-Siliguri,21,8170.0,8170.0
59,East & NE,2526FY,MANYAVAR,Roodraksh Mall-GHT,2026-07-31,2018-05-27,VFL,33,Guwahati,35,1433.0,988.0
61,East & NE,2526FY,MANYAVAR,"Mani Square,Kol",,2018-07-14,VFL,32,Kolkatta,27,1789.0,984.0
62,East & NE,2526FY,SABHYATA,Bhubaneshwar,,2019-01-01,SAB,20,Bhubaneshwar,0,800.0,800.0
64,East & NE,2526FY,SABHYATA,"Junction Mall,Dgp",,2019-02-17,SAB,22,Junction Mall-Durgapur,24,1184.0,740.0
68,East & NE,2526FY,TURTLE,"Garia,Kolakatta",,2019-04-01,TL,28,Kolkatta,28,575.0,575.0
69,East & NE,2526FY,TURTLE,"City Centre,GHT",,2019-05-01,TL,29,Guwahati,36,1040.0,570.0
74,East & NE,2526FY,BINGE,The Crossroads,,2020-10-01,JFPL,13,Rourkela,39,890.0,537.0
81,East & NE,2526FY,NUMERO UNO,City Centre,,2021-04-16,NUCL,14,City Centre-Siliguri,6,1226.0,760.0
82,East & NE,2526FY,MADAME,M G Marg,,2021-04-01,JACPL,11,Gangtok,18,809.0,809.0
83,East & NE,2526FY,MINIKLUB,City Centre,,2021-07-31,FSBPL,5,City Centre-Siliguri,7,1048.0,650.0
84,East & NE,2526FY,MINIKLUB,Cosmos Mall,2026-05-31,2021-07-17,FSBPL,6,Cosmos Mall-Siliguri,16,1393.0,814.0
88,East & NE,2526FY,VANHEUSEN,Cosmos Mall,,2021-11-01,ABFRL,1,Cosmos Mall-Siliguri,17,1210.0,726.0
89,East & NE,2526FY,MANYAVAR,"City Centre,GHT",,2022-03-27,VFL,36,Guwahati,37,1861.77,1117.3
90,East & NE,2526FY,MANYAVAR,Rajarhat CC2,,2022-07-01,VFL,37,Kolkatta,29,2550.0,1728.0
91,East & NE,2526FY,MANYAVAR & MOHEY,Agartala,,2022-09-26,VFL,42,Agartala,40,2500.0,2500.0
92,East & NE,2526FY,MANYAVAR & MOHEY,Malda,,2023-01-26,VFL,43,Malda,41,1750.0,1750.0
93,East & NE,2526FY,SABHYATA,"City Centre,GHT",,2023-02-01,SAB,23,Guwahati,38,1040.0,562.0
95,East & NE,2526FY,AURELIA,City Centre,,2023-07-01,TCNS,24,City Centre-Siliguri,8,1037.0,643.0
96,East & NE,2526FY,TURTLE,"Mani Square,Kol",,2024-01-01,TL,27,Kolkatta,30,954.0,1735.0
97,East & NE,2526FY,MANYAVAR & MOHEY,Jorhat,,2024-03-14,VFL,44,Jorhat,42,3000.0,3000.0
98,East & NE,2526FY,TURTLE,City Centre,,2024-04-11,TL,25,City Centre-Siliguri,9,937.0,581.0
101,East & NE,2526FY,MANYAVAR & MOHEY,Fairfiled,,2024-10-24,VFL,45,Kolkatta,31,1830.0,1372.0
102,East & NE,2526FY,MANYAVAR,Vega Circle Mall,,2024-10-03,VFL,35,Vega Circle-Siliguri,34,1418.0,914.0
104,East & NE,2526FY,TURTLE,West Point,,2025-03-20,TL,30,Gangtok,19,445.0,445.0
10005,East & NE,2526FY,MANYAVAR,Sevok Road,,2012-03-01,VFL,34,High Street-Siliguri,22,1492.0,1492.0
105,East & NE,2526PY,MANYAVAR & MOHEY,Silchar,,2025-06-01,VFL,46,Silchar,43,1755.0,1755.0
106,East & NE,2526PY,MANYAVAR & MOHEY,Dibrugarh,,2026-01-23,VFL,47,Dibrugarh,44,3000.0,3000.0
107,South,2526NA,MANYAVAR & MOHEY,Grand Kamraj Road,,2026-04-19,VFL,48,Bengaluru,45,22363.0,22363.0
108,South,2526NA,MANYAVAR & MOHEY,Commercial Street,,2026-04-19,VFL,49,Bengaluru,46,7870.0,7870.0
109,South,2526NA,MANYAVAR,Kamraj Road,,2026-04-19,VFL,38,Bengaluru,47,1675.0,1675.0
110,South,2526NA,MANYAVAR & MOHEY,M.G. Road,,2026-04-19,VFL,50,Bengaluru,48,9500.0,9500.0
111,South,2526NA,MANYAVAR & MOHEY,Orion Mall,,2026-04-19,VFL,51,Bengaluru,49,3040.0,3040.0
112,South,2526NA,MANYAVAR & MOHEY,Jayanagar,,2026-04-19,VFL,52,Bengaluru,50,5540.0,5540.0
113,South,2526NA,MANYAVAR,Cmh Road,,2026-04-19,VFL,39,Bengaluru,51,2200.0,2200.0
114,South,2526NA,MANYAVAR,Dvg Road,,2026-04-19,VFL,40,Bengaluru,52,1200.0,1200.0
