fy,month_idx,total,prpl,mripl
2024-25,1,53202214.0,52909360.0,292854.0
2024-25,2,36307599.0,36307599.0,0.0
2024-25,3,45670380.0,45670380.0,0.0
2024-25,4,41859776.0,41859776.0,0.0
2024-25,5,37717058.0,37717058.0,0.0
2024-25,6,59337008.0,59337008.0,0.0
2024-25,7,92755809.0,92755809.0,0.0
2024-25,8,84193956.0,84193956.0,0.0
2024-25,9,75404649.0,75404649.0,0.0
2024-25,10,75385289.0,75385289.0,0.0
2024-25,11,59515701.0,59515701.0,0.0
2024-25,12,49976628.0,49976628.0,0.0
2023-24,1,60440302.0,59844645.0,595657.0
2023-24,2,50316178.0,49777557.0,538621.0
2023-24,3,46114486.0,45510623.0,603863.0
2023-24,4,42360468.0,41836716.0,523752.0
2023-24,5,38037805.0,37499197.0,538608.0
2023-24,6,44612279.0,44157349.0,454930.0
2023-24,7,85800890.0,84760959.0,1039931.0
2023-24,8,80430938.0,79855434.0,575504.0
2023-24,9,70987330.0,70490302.0,497028.0
2023-24,10,73483497.0,72771581.0,711916.0
2023-24,11,54306067.0,53759561.0,546506.0
2023-24,12,42166055.0,41772084.0,393971.0
2022-23,1,62726046.0,59600188.0,3125858.0
2022-23,2,50285343.0,47898979.0,2386364.0
2022-23,3,46578151.0,45792046.0,786105.0
2022-23,4,49020446.0,48133702.0,886744.0
2022-23,5,45944624.0,45310173.0,634451.0
2022-23,6,78905120.0,77760022.0,1145098.0
2022-23,7,78335116.0,77496563.0,838553.0
2022-23,8,82563230.0,81926147.0,637083.0
2022-23,9,75395536.0,74706716.0,688820.0
2022-23,10,81629637.0,80849349.0,780288.0
2022-23,11,53721728.0,53295150.0,426578.0
2022-23,12,43092792.75,42649313.75,443479.0
2021-22,1,37945224.0,35581740.0,2363484.0
2021-22,2,2950976.0,2950976.0,0.0
2021-22,3,11979509.0,11336288.0,643221.0
2021-22,4,29125821.65,27391632.65,1734189.0
2021-22,5,35154760.0,33445457.0,1709303.0
2021-22,6,43155081.0,40965281.0,2189800.0
2021-22,7,74813841.0,70503917.0,4309924.0
2021-22,8,72801531.0,68778925.0,4022606.0
2021-22,9,63507613.0,59725007.0,3782606.0
2021-22,10,55980125.0,52851066.0,3129059.0
2021-22,11,48123911.0,45321617.0,2802294.0
2021-22,12,46445427.0,43888048.0,2557379.0
2020-21,1,0.0,0.0,0.0
2020-21,2,1213468.0,1153292.0,60176.0
2020-21,3,7353717.0,6403363.0,950354.0
2020-21,4,5535738.0,5041063.0,494675.0
2020-21,5,12964585.0,11752067.0,1212518.0
2020-21,6,20147157.0,18223723.0,1923434.0
2020-21,7,54178007.0,49343182.0,4834825.0
2020-21,8,59486163.0,52495702.0,6990461.0
2020-21,9,50239561.0,45348289.0,4891272.0
2020-21,10,53645140.0,49065800.0,4579340.0
2020-21,11,46986064.0,42285048.0,4701016.0
2020-21,12,39588445.0,35716427.0,3872018.0
2019-20,1,38643998.91,34365108.05,4278890.859999999
2019-20,2,36515165.0,32535606.0,3979559.0
2019-20,3,46934777.0,42347807.0,4586970.0
2019-20,4,40680604.0,37605905.0,3074699.0
2019-20,5,35952663.0,33012628.0,2940035.0
2019-20,6,54586644.0,49949277.0,4637367.0
2019-20,7,64125772.0,57184195.0,6941577.0
2019-20,8,53090550.0,45573594.0,7516956.0
2019-20,9,62211135.0,55487967.0,6723168.0
2019-20,10,68439088.0,60921729.0,7517359.0
2019-20,11,45437258.0,40374492.0,5062766.0
2019-20,12,19137814.2,17256323.0,1881491.1999999993
2018-19,1,37700345.6,31182223.35,6518122.25
2018-19,2,28049021.35,24108121.11,3940900.24
2018-19,3,43362255.41,36976835.41,6385420.0
2018-19,4,41330101.53,37295652.93,4034448.6
2018-19,5,32576700.169999998,29160672.169999998,3416028.0
2018-19,6,35482383.7,32608936.7,2873447.0
2018-19,7,63065981.76,57118722.76,5947259.0
2018-19,8,48076987.5,41939846.5,6137141.0
2018-19,9,60070381.309,53540320.309,6530061.0
2018-19,10,62102114.690000005,55738579.690000005,6363535.0
2018-19,11,37840076.0,33554971.0,4285105.0
2018-19,12,31735413.0,28254190.0,3481223.0
2017-18,1,28884921.200000003,23169895.200000003,5715026.0
2017-18,2,25811665.15,21041138.15,4770527.0
2017-18,3,34156142.44,27281250.099999998,6874892.34
2017-18,4,29296847.950000003,25606072.17,3690775.7800000003
2017-18,5,26237752.979999997,22997634.06,3240118.92
2017-18,6,50336265.050000004,44140418.35,6195846.7
2017-18,7,34046009.84,28190988.84,5855021.0
2017-18,8,44285461.84,35667957.84,8617504.0
2017-18,9,51128828.870000005,43507611.67,7621217.2
2017-18,10,59010559.70999999,51432367.41,7578192.3
2017-18,11,37961922.13,31814754.48,6147167.65
2017-18,12,30080174.23,26437932.23,3642242.0
