DATE,STORE CODE,STORE NAME,LOCATION,CITY,Total
01/04/2025,2,PLANET FASHION,Vega Circle Mall,SILIGURI,8918.0
01/04/2025,4,VAN HEUSEN,City Centre,SILIGURI,17382.0
01/04/2025,6,SUCCESS,Cosmos Mall,SILIGURI,0.0
01/04/2025,9,COBB,Cosmos Mall,SILIGURI,16745.0
01/04/2025,10,CALVIN KLEIN,Vega Circle Mall,SILIGURI,97080.0
01/04/2025,18,FREEDOM FASHION,Cosmos Mall,SILIGURI,11190.0
01/04/2025,22,MADAME,Cosmos Mall,SILIGURI,6842.0
01/04/2025,23,MADAME,City Centre,SILIGURI,4597.0
01/04/2025,24,MADAME,Roodraksh Mall,GUWAHATI,13794.0
01/04/2025,25,BINGE,Cosmos Mall,SILIGURI,8500.0
01/04/2025,26,BINGE,City Centre,SILIGURI,9100.0
01/04/2025,27,BINGE,Roodraksh Mall,GUWAHATI,2000.0
01/04/2025,33,LONGHORNS,City Centre,SILIGURI,0.0
01/04/2025,35,CASUALS,Hill Cart Road,SILIGURI,8295.0
01/04/2025,37,COLORPLUS,City Centre,SILIGURI,797.0
01/04/2025,40,COLORPLUS,Mani Square,KOLKATA,
01/04/2025,41,COLORPLUS,Salt Lake,KOLKATA,35059.0
01/04/2025,42,SABHYATA,City Centre,SILIGURI,37011.0
01/04/2025,45,FREEDOM FASHION,City Centre,SILIGURI,22674.0
01/04/2025,47,TURTLE,Cosmos Mall,SILIGURI,15589.0
01/04/2025,54,COLORPLUS,Jamshedpur,JAMSHEDPUR,16800.0
01/04/2025,56,MANYAVAR,City Centre,SILIGURI,5998.0
01/04/2025,58,MANYAVAR & MOHEY,Sevok Road,SILIGURI,426675.0
01/04/2025,59,MANYAVAR,Roodraksh Mall,GUWAHATI,17243.0
01/04/2025,61,MANYAVAR,Mani Square,KOLKATA,10998.0
01/04/2025,62,SABHYATA,Bhubaneshwar,BHUBANESWAR,10148.0
01/04/2025,63,SABHYATA,Roodraksh Mall,GUWAHATI,28696.0
01/04/2025,64,SABHYATA,Junction Mall,DURGAPUR,11757.0
01/04/2025,68,TURTLE,Gariahat,KOLKATA,15292.0
01/04/2025,69,TURTLE,"City Centre,GHT",GUWAHATI,67068.0
01/04/2025,74,BINGE,Crossroad,ROURKELA,8699.0
01/04/2025,76,TURTLE,FORUM MALL,ROURKELA,1999.0
01/04/2025,81,NUMERO UNO,City Centre,SILIGURI,3359.0
01/04/2025,82,MADAME,M.G. Marg,GANGTOK,0.0
01/04/2025,83,MINIKLUB,City Centre,SILIGURI,9226.0
01/04/2025,84,MINIKLUB,Cosmos Mall,SILIGURI,10744.0
01/04/2025,88,VANHEUSEN,Cosmos Mall,SILIGURI,45697.0
01/04/2025,89,MANYAVAR,"City Centre,GHT",GUWAHATI,51236.0
01/04/2025,90,MANYAVAR,Rajarhat CC2,KOLKATA,88832.0
01/04/2025,91,MANYAVAR & MOHEY,Agartala,AGARTALA,46989.0
01/04/2025,92,MANYAVAR & MOHEY,Malda,MALDA,90483.0
01/04/2025,93,SABHYATA,"City Centre,GHT",GUWAHATI,40873.0
01/04/2025,94,NUMERO UNO,NH31A,GANGTOK,6718.0
01/04/2025,95,AURELIA,City Centre,SILIGURI,19291.0
01/04/2025,96,TURTLE,Mani Square,KOLKATA,14093.0
01/04/2025,97,MANYAVAR & MOHEY,Jorhat,JORHAT,45582.0
01/04/2025,98,TURTLE,City Centre,SILIGURI,1499.0
01/04/2025,99,NUMERO UNO,Rajarhat CC2,KOLKATA,7827.0
01/04/2025,100,NUMERO UNO,Galaxy Mall,ASANSOL,3458.0
01/04/2025,101,MANYAVAR & MOHEY,Fairfiled ,KOLKATA,51991.0
01/04/2025,102,MANYAVAR,Vega Circle Mall,SILIGURI,18993.0
01/04/2025,104,TURTLE,West Point,GANGTOK,11394.0
01/04/2025,10005,MANYAVAR,Sevok Road,SILIGURI,33994.0
02/04/2025,2,PLANET FASHION,Vega Circle Mall,SILIGURI,18724.0
02/04/2025,4,VAN HEUSEN,City Centre,SILIGURI,24364.0
02/04/2025,6,SUCCESS,Cosmos Mall,SILIGURI,0.0
02/04/2025,9,COBB,Cosmos Mall,SILIGURI,18260.0
02/04/2025,10,CALVIN KLEIN,Vega Circle Mall,SILIGURI,92512.0
02/04/2025,18,FREEDOM FASHION,Cosmos Mall,SILIGURI,5186.0
02/04/2025,22,MADAME,Cosmos Mall,SILIGURI,1798.0
02/04/2025,23,MADAME,City Centre,SILIGURI,9045.0
02/04/2025,24,MADAME,Roodraksh Mall,GUWAHATI,37983.0
02/04/2025,25,BINGE,Cosmos Mall,SILIGURI,5100.0
02/04/2025,26,BINGE,City Centre,SILIGURI,1600.0
02/04/2025,27,BINGE,Roodraksh Mall,GUWAHATI,0.0
02/04/2025,33,LONGHORNS,City Centre,SILIGURI,19640.0
02/04/2025,35,CASUALS,Hill Cart Road,SILIGURI,9255.0
02/04/2025,37,COLORPLUS,City Centre,SILIGURI,13594.0
02/04/2025,40,COLORPLUS,Mani Square,KOLKATA,0.0
02/04/2025,41,COLORPLUS,Salt Lake,KOLKATA,82002.0
02/04/2025,42,SABHYATA,City Centre,SILIGURI,21616.0
02/04/2025,45,FREEDOM FASHION,City Centre,SILIGURI,23075.0
02/04/2025,47,TURTLE,Cosmos Mall,SILIGURI,8745.0
02/04/2025,54,COLORPLUS,Jamshedpur,JAMSHEDPUR,8796.0
02/04/2025,56,MANYAVAR,City Centre,SILIGURI,3999.0
02/04/2025,58,MANYAVAR & MOHEY,Sevok Road,SILIGURI,144311.0
02/04/2025,59,MANYAVAR,Roodraksh Mall,GUWAHATI,24891.0
02/04/2025,61,MANYAVAR,Mani Square,KOLKATA,12997.0
02/04/2025,62,SABHYATA,Bhubaneshwar,BHUBANESWAR,15239.0
02/04/2025,63,SABHYATA,Roodraksh Mall,GUWAHATI,14338.0
02/04/2025,64,SABHYATA,Junction Mall,DURGAPUR,13374.0
02/04/2025,68,TURTLE,Gariahat,KOLKATA,11793.0
02/04/2025,69,TURTLE,"City Centre,GHT",GUWAHATI,40580.0
02/04/2025,74,BINGE,Crossroad,ROURKELA,0.0
02/04/2025,76,TURTLE,FORUM MALL,ROURKELA,1999.0
02/04/2025,81,NUMERO UNO,City Centre,SILIGURI,9387.0
02/04/2025,82,MADAME,M.G. Marg,GANGTOK,16244.0
02/04/2025,83,MINIKLUB,City Centre,SILIGURI,35940.0
02/04/2025,84,MINIKLUB,Cosmos Mall,SILIGURI,15720.0
02/04/2025,88,VANHEUSEN,Cosmos Mall,SILIGURI,599.0
02/04/2025,89,MANYAVAR,"City Centre,GHT",GUWAHATI,75082.0
02/04/2025,90,MANYAVAR,Rajarhat CC2,KOLKATA,32493.0
02/04/2025,91,MANYAVAR & MOHEY,Agartala,AGARTALA,79721.0
02/04/2025,92,MANYAVAR & MOHEY,Malda,MALDA,100279.0
02/04/2025,93,SABHYATA,"City Centre,GHT",GUWAHATI,54230.0
