code,brand,location,city,region,takeover_date,is_vfl
2,PLANET FASHION,Vega Circle Mall,SILIGURI,East & NE,2025-04-01,False
4,VAN HEUSEN,City Centre,SILIGURI,East & NE,2025-04-01,False
6,SUCCESS,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
9,COBB,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
10,CALVIN KLEIN,Vega Circle Mall,SILIGURI,East & NE,2025-04-01,False
18,FREEDOM FASHION,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
22,MADAME,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
23,MADAME,City Centre,SILIGURI,East & NE,2025-04-01,False
24,MADAME,"City Centre,Ght",GUWAHATI,East & NE,2025-04-01,False
25,BINGE,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
26,BINGE,City Centre,SILIGURI,East & NE,2025-04-01,False
27,BINGE,Roodraksh Mall,GUWAHATI,East & NE,2025-04-01,False
33,LONGHORNS,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
35,CASUALS,Hill Cart Road,SILIGURI,East & NE,2025-04-01,False
37,COLORPLUS,City Centre,SILIGURI,East & NE,2025-04-01,False
40,COLORPLUS,Mani Square,KOLKATA,East & NE,2025-04-01,False
41,COLORPLUS,Salt Lake,KOLKATA,East & NE,2025-04-01,False
42,SABHYATA,City Centre,SILIGURI,East & NE,2025-04-01,False
45,FREEDOM FASHION,City Centre,SILIGURI,East & NE,2025-04-01,False
47,TURTLE,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
54,COLORPLUS,Jamshedpur,JAMSHEDPUR,East & NE,2025-04-01,False
56,MANYAVAR,City Centre,SILIGURI,East & NE,2025-04-01,True
58,MANYAVAR & MOHEY,Sevok Road,SILIGURI,East & NE,2025-04-01,True
59,MANYAVAR,Roodraksh Mall,GUWAHATI,East & NE,2025-04-01,True
61,MANYAVAR,Mani Square,KOLKATA,East & NE,2025-04-01,True
62,SABHYATA,Bhubaneshwar,BHUBANESWAR,East & NE,2025-04-01,False
63,SABHYATA,Roodraksh Mall,GUWAHATI,East & NE,2025-04-01,False
64,SABHYATA,Junction Mall,DURGAPUR,East & NE,2025-04-01,False
68,TURTLE,Gariahat,KOLKATA,East & NE,2025-04-01,False
69,TURTLE,"City Centre,Ght",GUWAHATI,East & NE,2025-04-01,False
74,BINGE,Crossroad,ROURKELA,East & NE,2025-04-01,False
76,TURTLE,Forum Mall,ROURKELA,East & NE,2025-04-01,False
81,NUMERO UNO,City Centre,SILIGURI,East & NE,2025-04-01,False
82,MADAME,M.G. Marg,GANGTOK,East & NE,2025-04-01,False
83,MINIKLUB,City Centre,SILIGURI,East & NE,2025-04-01,False
84,MINIKLUB,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
88,VAN HEUSEN,Cosmos Mall,SILIGURI,East & NE,2025-04-01,False
89,MANYAVAR,"City Centre,Ght",GUWAHATI,East & NE,2025-04-01,True
90,MANYAVAR,Rajarhat Cc2,KOLKATA,East & NE,2025-04-01,True
91,MANYAVAR & MOHEY,Agartala,AGARTALA,East & NE,2025-04-01,True
92,MANYAVAR & MOHEY,Malda,MALDA,East & NE,2025-04-01,True
93,SABHYATA,"City Centre,Ght",GUWAHATI,East & NE,2025-04-01,False
94,NUMERO UNO,Nh31A,GANGTOK,East & NE,2025-04-01,False
95,AURELIA,City Centre,SILIGURI,East & NE,2025-04-01,False
96,TURTLE,Mani Square,KOLKATA,East & NE,2025-04-01,False
97,MANYAVAR & MOHEY,Jorhat,JORHAT,East & NE,2025-04-01,True
98,TURTLE,City Centre,SILIGURI,East & NE,2025-04-01,False
99,NUMERO UNO,Rajarhat Cc2,KOLKATA,East & NE,2025-04-01,False
100,NUMERO UNO,Galaxy Mall,ASANSOL,East & NE,2025-04-01,False
101,MANYAVAR & MOHEY,Rajarhat Fairfield,KOLKATA,East & NE,2025-04-01,True
102,MANYAVAR,Vega Circle Mall,SILIGURI,East & NE,2025-04-01,True
104,TURTLE,West Point,GANGTOK,East & NE,2025-04-01,False
105,MANYAVAR & MOHEY,Silchar,SILCHAR,East & NE,2025-04-01,True
106,MANYAVAR & MOHEY,Dibrugarh,DIBRUGARH,East & NE,2025-04-01,True
107,MANYAVAR & MOHEY,Grand Kamraj Road,BENGALURU,South,2026-04-19,True
108,MANYAVAR & MOHEY,Commercial Street,BENGALURU,South,2026-04-19,True
109,MANYAVAR,Kamraj Road,BENGALURU,South,2026-04-19,True
110,MANYAVAR & MOHEY,M.G. Road,BENGALURU,South,2026-04-19,True
111,MANYAVAR & MOHEY,Orion Mall,BENGALURU,South,2026-04-19,True
112,MANYAVAR & MOHEY,Jayanagar,BENGALURU,South,2026-04-19,True
113,MANYAVAR,Cmh Road,BENGALURU,South,2026-04-19,True
114,MANYAVAR,Dvg Road,BENGALURU,South,2026-04-19,True
10005,MANYAVAR,Sevok Road,SILIGURI,East & NE,2025-04-01,True
