store_code,store,place_id,google_name,distance_m,reviews_at_match,lat,lng
56,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,Manyavar,9,2520,26.7247638,88.3952405
58,Siliguri,ChIJwZDRHQJB5DkRWJb2YzvkY0U,Manyavar & Mohey,29,7883,26.7396132,88.4355373
61,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,Manyavar,56,4603,22.5776738,88.4005136
89,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,Manyavar,22,5393,26.1550723,91.782359
90,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,Manyavar,50,11362,22.623364,88.4503563
91,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,Manyavar & Mohey,26,5587,23.8345731,91.2796984
92,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,Manyavar & Mohey,7,3681,25.0010288,88.1403667
97,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,Manyavar & Mohey,7,2713,26.7572713,94.2149361
101,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,Manyavar & Mohey,29,3201,22.5788598,88.4686896
105,Silchar,ChIJPz9qyhVLTjcR8k1Iu0t1Q-s,Manyavar & Mohey,19,1376,24.8214607,92.7987574
106,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,Manyavar & Mohey,0,324,27.480833,94.90409299999999
107,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,Manyavar & Mohey,0,10636,12.9816435,77.6104473
108,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,Manyavar & Mohey,46,10237,12.9825218,77.6073895
109,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,Manyavar,0,5123,12.9813269,77.6101539
110,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,Manyavar & Mohey,27,8392,12.9752085,77.6068905
111,Orion Mall,ChIJ748wWX89rjsRpv-DRa-4wtE,Manyavar & Mohey,13,6072,13.0101158,77.5548995
112,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,Manyavar & Mohey,5,17347,12.9314397,77.5859892
113,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,Manyavar,22,4399,12.9782524,77.6361465
114,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,Manyavar,82,4751,12.9424926,77.5714204
10005,Siliguri 2,ChIJjx0f6thB5DkRbFNhAGDiaKo,Manyavar,15,4956,26.7253493,88.4292397
