date,store,place_id,total_reviews,rating
2026-08-22,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5587,4.9
2026-08-23,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5587,4.9
2026-08-26,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5585,4.9
2026-08-27,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5586,4.9
2026-08-28,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5588,4.9
2026-08-29,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5588,4.9
2026-08-30,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5588,4.9
2026-08-31,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5588,4.9
2026-09-01,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5588,4.9
2026-09-02,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5587,4.9
2026-09-03,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5591,4.9
2026-09-05,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5594,4.9
2026-09-06,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5594,4.9
2026-09-09,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5598,4.9
2026-09-10,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5598,4.9
2026-09-11,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5598,4.9
2026-09-12,Agartala,ChIJN6neDa31UzcRJKI5mWv3_64,5599,4.9
2026-08-22,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11362,4.9
2026-08-23,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11362,4.9
2026-08-26,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11367,4.9
2026-08-27,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11370,4.9
2026-08-28,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11372,4.9
2026-08-29,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11372,4.9
2026-08-30,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11374,4.9
2026-08-31,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11375,4.9
2026-09-01,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11378,4.9
2026-09-02,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11376,4.9
2026-09-03,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11377,4.9
2026-09-05,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11379,4.9
2026-09-06,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11383,4.9
2026-09-09,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11392,4.9
2026-09-10,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11393,4.9
2026-09-11,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11395,4.9
2026-09-12,CC2 Rajarhat,ChIJDZEqjjaf-DkRFg_DfLbkRR0,11398,4.9
2026-08-22,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4399,4.7
2026-08-23,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4399,4.7
2026-08-26,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4399,4.7
2026-08-27,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4400,4.7
2026-08-28,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-08-29,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-08-30,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-08-31,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-01,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-02,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-03,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-05,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-06,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-09,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-10,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-11,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-09-12,CMH Road,ChIJH9qgzqcWrjsRRUpZf_VljWU,4401,4.7
2026-08-22,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5393,4.9
2026-08-23,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5393,4.9
2026-08-26,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5393,4.9
2026-08-27,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5394,4.9
2026-08-28,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5395,4.9
2026-08-29,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5395,4.9
2026-08-30,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5396,4.9
2026-08-31,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5396,4.9
2026-09-01,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5396,4.9
2026-09-02,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5395,4.9
2026-09-03,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5395,4.9
2026-09-05,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5395,4.9
2026-09-06,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5395,4.9
2026-09-09,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5402,4.9
2026-09-10,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5402,4.9
2026-09-11,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5403,4.9
2026-09-12,City Centre GHY,ChIJ4xqQP05ZWjcROv4SIOcMGyA,5403,4.9
2026-08-22,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2520,4.9
2026-08-23,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2520,4.9
2026-08-26,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2520,4.9
2026-08-27,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2520,4.9
2026-08-28,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2520,4.9
2026-08-29,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2520,4.9
2026-08-30,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2521,4.9
2026-08-31,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2522,4.9
2026-09-01,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2522,4.9
2026-09-02,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2521,4.9
2026-09-03,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2521,4.9
2026-09-05,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2525,4.9
2026-09-06,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2525,4.9
2026-09-09,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2525,4.9
2026-09-10,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2525,4.9
2026-09-11,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2525,4.9
2026-09-12,City Centre SIL,ChIJYwtOBJlB5DkRnJTLfuDDoHs,2525,4.9
2026-08-22,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10237,4.8
2026-08-23,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10237,4.8
2026-08-26,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10238,4.8
2026-08-27,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10239,4.8
2026-08-28,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10239,4.8
2026-08-29,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10239,4.8
2026-08-30,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10240,4.8
2026-08-31,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10240,4.8
2026-09-01,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10239,4.8
2026-09-02,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10241,4.8
2026-09-03,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10241,4.8
2026-09-05,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10242,4.8
2026-09-06,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10244,4.8
2026-09-09,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10245,4.8
2026-09-10,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10245,4.8
2026-09-11,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10245,4.8
2026-09-12,Commercial Street,ChIJUWFxb2IWrjsRLzLqaiG5bAI,10245,4.8
2026-08-22,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4751,4.7
2026-08-23,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4751,4.7
2026-08-26,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4753,4.7
2026-08-27,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4753,4.7
2026-08-28,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4753,4.7
2026-08-29,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4754,4.7
2026-08-30,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4757,4.7
2026-08-31,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4757,4.7
2026-09-01,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4757,4.7
2026-09-02,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4757,4.7
2026-09-03,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4757,4.7
2026-09-05,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4756,4.7
2026-09-06,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4757,4.7
2026-09-09,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4760,4.7
2026-09-10,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4760,4.7
2026-09-11,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4760,4.7
2026-09-12,DVG Road,ChIJEwAAAO0VrjsRXuwGfEfTB9c,4761,4.7
2026-09-05,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,324,4.9
2026-09-06,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,324,4.9
2026-09-09,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,329,4.9
2026-09-10,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,330,4.9
2026-09-11,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,330,4.9
2026-09-12,Dibrugarh,ChIJnQBph8qZQDcRtLWUzPTR3-U,331,4.9
2026-08-22,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3201,4.9
2026-08-23,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3201,4.9
2026-08-26,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3203,4.9
2026-08-27,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3203,4.9
2026-08-28,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3203,4.9
2026-08-29,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3204,4.9
2026-08-30,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3204,4.9
2026-08-31,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3207,4.9
2026-09-01,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3208,4.9
2026-09-02,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3209,4.9
2026-09-03,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3210,4.9
2026-09-05,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3211,4.9
2026-09-06,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3214,4.9
2026-09-09,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3221,4.9
2026-09-10,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3223,4.9
2026-09-11,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3226,4.9
2026-09-12,Fairfield,ChIJjbCgZEl1AjoRtnrP2jFfRAY,3226,4.9
2026-09-05,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,10636,4.9
2026-09-06,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,10635,4.9
2026-09-09,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,10643,4.9
2026-09-10,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,10644,4.9
2026-09-11,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,10645,4.9
2026-09-12,Grand Kamraj Road,ChIJvT_Kso4XrjsRoafJCvzNIfo,10648,4.9
2026-08-22,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17347,4.8
2026-08-23,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17347,4.8
2026-08-26,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17346,4.8
2026-08-27,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17347,4.8
2026-08-28,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17346,4.8
2026-08-29,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17346,4.8
2026-08-30,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17346,4.8
2026-08-31,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17347,4.8
2026-09-01,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17347,4.8
2026-09-02,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17346,4.8
2026-09-03,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17345,4.8
2026-09-05,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17348,4.8
2026-09-09,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17352,4.8
2026-09-10,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17355,4.8
2026-09-11,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17356,4.8
2026-09-12,Jayanagar,ChIJOVVVVbwVrjsRV1YGw2bOwS4,17357,4.8
2026-08-22,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-23,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-26,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-27,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-28,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-29,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-30,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-08-31,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-09-01,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-09-02,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-09-03,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-09-05,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2713,4.9
2026-09-06,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2714,4.9
2026-09-09,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2715,4.9
2026-09-10,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2716,4.9
2026-09-11,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2716,4.9
2026-09-12,Jorhat,ChIJ231Hgc7DRjcRxeKW18uK4ts,2716,4.9
2026-09-05,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,5123,4.8
2026-09-06,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,5123,4.8
2026-09-09,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,5125,4.8
2026-09-10,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,5125,4.8
2026-09-11,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,5124,4.8
2026-09-12,Kamraj Road,ChIJy4P-4ZIXrjsRcgRGu4U9ngQ,5125,4.8
2026-08-22,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8392,4.8
2026-08-23,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8392,4.8
2026-08-26,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8391,4.8
2026-08-27,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8391,4.8
2026-08-28,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8391,4.8
2026-08-29,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8392,4.8
2026-08-30,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8392,4.8
2026-08-31,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8393,4.8
2026-09-01,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8393,4.8
2026-09-02,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8394,4.8
2026-09-03,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8394,4.8
2026-09-05,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8396,4.8
2026-09-06,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8398,4.8
2026-09-09,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8406,4.8
2026-09-10,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8406,4.8
2026-09-11,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8406,4.8
2026-09-12,M.G. Road,ChIJ06qqqnEWrjsRXpy9ySDX0s4,8406,4.8
2026-08-22,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3681,4.9
2026-08-23,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3681,4.9
2026-08-26,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-08-27,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-08-28,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-08-29,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-08-30,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-08-31,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-09-01,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-09-02,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3682,4.9
2026-09-03,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3682,4.9
2026-09-05,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-09-06,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3683,4.9
2026-09-09,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3686,4.9
2026-09-10,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3686,4.9
2026-09-11,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3686,4.9
2026-09-12,Malda,ChIJNV-8p2_9-jkRbZ8HqFn2f8g,3686,4.9
2026-08-22,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4603,4.9
2026-08-23,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4603,4.9
2026-08-26,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4609,4.9
2026-08-27,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4612,4.9
2026-08-28,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4613,4.9
2026-08-29,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4613,4.9
2026-08-30,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4616,4.9
2026-08-31,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4622,4.9
2026-09-01,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4624,4.9
2026-09-02,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4625,4.9
2026-09-03,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4629,4.9
2026-09-05,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4634,4.9
2026-09-06,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4638,4.9
2026-09-09,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4657,4.9
2026-09-10,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4660,4.9
2026-09-11,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4660,4.9
2026-09-12,Mani Square,ChIJ083QRwF3AjoRxYqB8zvN-c0,4662,4.9
2026-08-22,Orion Mall,ChIJ748wWX89rjsRpv-DRa-4wtE,6072,4.8
2026-08-23,Orion Mall,ChIJ748wWX89rjsRpv-DRa-4wtE,6072,4.8
