date,store,day_review,day_bill
2025-04-01,CC2 Rajarhat,2.0,12.0
2025-04-01,City Centre GHY,0.0,9.0
2025-04-01,City Centre SIL,1.0,1.0
2025-04-01,Fairfield,4.0,6.0
2025-04-01,Jorhat,1.0,7.0
2025-04-01,Malda,1.0,10.0
2025-04-01,Mani Square,0.0,2.0
2025-04-01,Roodraksh Mall,0.0,3.0
2025-04-01,Siliguri,4.0,16.0
2025-04-01,Siliguri 2,2.0,4.0
2025-04-01,VEGA Circle Mall,2.0,4.0
2025-04-02,Agartala,4.0,8.0
2025-04-02,CC2 Rajarhat,1.0,6.0
2025-04-02,City Centre GHY,0.0,6.0
2025-04-02,City Centre SIL,0.0,1.0
2025-04-02,Fairfield,5.0,7.0
2025-04-02,Jorhat,2.0,12.0
2025-04-02,Malda,3.0,6.0
2025-04-02,Mani Square,0.0,5.0
2025-04-02,Roodraksh Mall,2.0,4.0
2025-04-02,Siliguri,2.0,13.0
2025-04-02,Siliguri 2,2.0,5.0
2025-04-02,VEGA Circle Mall,0.0,1.0
2025-04-03,Agartala,1.0,10.0
2025-04-03,CC2 Rajarhat,5.0,12.0
2025-04-03,City Centre GHY,1.0,3.0
2025-04-03,City Centre SIL,2.0,2.0
2025-04-03,Fairfield,6.0,11.0
2025-04-03,Jorhat,0.0,10.0
2025-04-03,Malda,1.0,7.0
2025-04-03,Mani Square,0.0,5.0
2025-04-03,Roodraksh Mall,1.0,1.0
2025-04-03,Siliguri,4.0,18.0
2025-04-03,Siliguri 2,0.0,2.0
2025-04-03,VEGA Circle Mall,0.0,1.0
2025-04-04,Agartala,1.0,9.0
2025-04-04,CC2 Rajarhat,3.0,7.0
2025-04-04,City Centre GHY,4.0,7.0
2025-04-04,City Centre SIL,1.0,3.0
2025-04-04,Fairfield,4.0,6.0
2025-04-04,Jorhat,3.0,9.0
2025-04-04,Malda,1.0,12.0
2025-04-04,Mani Square,0.0,1.0
2025-04-04,Roodraksh Mall,2.0,3.0
2025-04-04,Siliguri,2.0,8.0
2025-04-04,Siliguri 2,4.0,5.0
2025-04-04,VEGA Circle Mall,1.0,1.0
2025-04-05,Agartala,2.0,11.0
2025-04-05,CC2 Rajarhat,5.0,11.0
2025-04-05,City Centre GHY,2.0,10.0
2025-04-05,City Centre SIL,0.0,5.0
2025-04-05,Fairfield,9.0,15.0
2025-04-05,Jorhat,4.0,11.0
2025-04-05,Malda,3.0,13.0
2025-04-05,Mani Square,2.0,5.0
2025-04-05,Roodraksh Mall,2.0,3.0
2025-04-05,Siliguri,4.0,15.0
2025-04-05,Siliguri 2,8.0,12.0
2025-04-05,VEGA Circle Mall,0.0,2.0
2025-04-06,Agartala,1.0,9.0
2025-04-06,CC2 Rajarhat,6.0,18.0
2025-04-06,City Centre GHY,1.0,11.0
2025-04-06,City Centre SIL,1.0,4.0
2025-04-06,Fairfield,11.0,18.0
2025-04-06,Jorhat,3.0,10.0
2025-04-06,Malda,1.0,6.0
2025-04-06,Mani Square,3.0,9.0
2025-04-06,Roodraksh Mall,4.0,7.0
2025-04-06,Siliguri,3.0,14.0
2025-04-06,Siliguri 2,2.0,5.0
2025-04-06,VEGA Circle Mall,0.0,1.0
2025-04-07,Agartala,0.0,6.0
2025-04-07,CC2 Rajarhat,1.0,4.0
2025-04-07,City Centre GHY,3.0,11.0
2025-04-07,City Centre SIL,1.0,3.0
2025-04-07,Fairfield,4.0,7.0
2025-04-07,Jorhat,7.0,11.0
2025-04-07,Malda,2.0,7.0
2025-04-07,Mani Square,1.0,2.0
2025-04-07,Roodraksh Mall,0.0,2.0
2025-04-07,Siliguri,2.0,10.0
2025-04-07,Siliguri 2,2.0,5.0
2025-04-07,VEGA Circle Mall,1.0,2.0
2025-04-08,Agartala,2.0,9.0
2025-04-08,CC2 Rajarhat,4.0,11.0
2025-04-08,City Centre GHY,1.0,9.0
2025-04-08,City Centre SIL,0.0,2.0
2025-04-08,Fairfield,7.0,14.0
2025-04-08,Jorhat,2.0,9.0
2025-04-08,Malda,0.0,6.0
2025-04-08,Mani Square,0.0,0.0
2025-04-08,Roodraksh Mall,0.0,2.0
2025-04-08,Siliguri,4.0,11.0
