code,carpet_sqft,opened,closed
2,1383.0,2017-06-24,2026-04-30
4,857.0,2017-09-23,2026-01-31
6,366.0,2016-04-15,
9,569.0,2017-08-26,
10,750.0,2017-12-15,
18,1694.0,2008-04-27,
22,565.0,2008-04-01,
23,776.0,2016-07-07,
24,1023.0,,2026-01-31
25,365.0,2015-10-27,
26,522.0,2016-03-26,2025-06-30
27,445.0,2017-11-20,2026-03-31
33,341.0,2018-01-01,2025-06-30
35,150.0,2008-04-01,
37,557.0,2012-04-16,
40,1071.0,2017-05-01,
41,1270.0,2017-05-01,
42,668.0,2017-12-07,
45,590.0,2011-04-01,
47,473.0,2011-04-01,
54,915.0,2018-09-23,
56,581.0,2011-04-29,
58,8170.0,2016-08-27,
59,988.0,2018-05-27,2026-07-31
61,984.0,2018-07-14,
62,800.0,2019-01-01,
63,981.0,2018-08-23,2025-05-31
64,740.0,2019-02-17,
68,575.0,2019-04-01,
69,570.0,2019-05-01,
74,537.0,2020-10-01,
76,544.0,2019-09-05,2026-01-31
81,760.0,2021-04-16,
82,809.0,2021-04-01,
83,650.0,2021-07-31,
84,814.0,2021-07-17,2026-05-31
88,726.0,2021-11-01,
89,1117.0,2022-03-27,
90,1728.0,2022-07-01,
91,5646.0,2022-09-26,
92,3450.0,2023-01-26,
93,562.0,2023-02-01,
94,464.0,,2025-10-31
95,643.0,2023-07-01,
96,954.0,2024-01-05,
97,2955.0,2024-03-14,
98,537.0,2024-04-12,
99,480.0,2024-08-01,2025-08-31
100,415.0,2024-08-01,2025-10-31
101,2745.0,2024-10-24,
102,914.0,2024-10-03,
104,445.0,2024-12-01,
105,3511.0,2025-06-01,
106,3000.0,2026-01-23,
107,22363.0,2026-04-19,
108,7870.0,2026-04-19,
109,1675.0,2026-04-19,
110,9500.0,2026-04-19,
111,3040.0,2026-04-19,
112,5540.0,2026-04-19,
113,2200.0,2026-04-19,
114,1200.0,2026-04-19,
10005,1492.0,2012-03-01,
