tableau_name,code,location,city,state,region,takeover_date,sb,ca,format
City Centre SIL,56,City Centre,SILIGURI,WEST BENGAL,East & NE,2025-04-01,937,581,MANYAVAR
Siliguri,58,Sevok Road,SILIGURI,WEST BENGAL,East & NE,2025-04-01,8170,8170,MANYAVAR & MOHEY
Roodraksh Mall,59,Roodraksh Mall,GUWAHATI,ASSAM,East & NE,2025-04-01,1433,988,MANYAVAR
Mani Square,61,Mani Square,KOLKATA,WEST BENGAL,East & NE,2025-04-01,1789,984,MANYAVAR
City Centre GHY,89,City Centre GHT,GUWAHATI,ASSAM,East & NE,2025-04-01,1861.77,1117,MANYAVAR
CC2 Rajarhat,90,Rajarhat CC2,KOLKATA,WEST BENGAL,East & NE,2025-04-01,2550,1728,MANYAVAR
Agartala,91,Agartala,AGARTALA,TRIPURA,East & NE,2025-04-01,5646,5646,MANYAVAR & MOHEY
Malda,92,Malda,MALDA,WEST BENGAL,East & NE,2025-04-01,3450,3450,MANYAVAR & MOHEY
Jorhat,97,Jorhat,JORHAT,ASSAM,East & NE,2025-04-01,2955,2955,MANYAVAR & MOHEY
Fairfield,101,Rajarhat Fairfield,KOLKATA,WEST BENGAL,East & NE,2025-04-01,3660,2745,MANYAVAR & MOHEY
VEGA Circle Mall,102,Vega Circle Mall,SILIGURI,WEST BENGAL,East & NE,2025-04-01,1418,914,MANYAVAR
Silchar,105,Silchar,SILCHAR,ASSAM,East & NE,2025-04-01,3511,3511,MANYAVAR & MOHEY
Dibrugarh,106,Dibrugarh,DIBRUGARH,ASSAM,East & NE,2025-04-01,3000,3000,MANYAVAR & MOHEY
Grand Kamraj Road,107,Grand Kamraj Road,BENGALURU,KARNATAKA,South,2025-04-19,22363,22363,MANYAVAR & MOHEY
Commercial Street,108,Commercial Street,BENGALURU,KARNATAKA,South,2025-04-19,7870,7870,MANYAVAR & MOHEY
Kamraj Road,109,Kamraj Road,BENGALURU,KARNATAKA,South,2025-04-19,1675,1675,MANYAVAR
M.G. Road,110,M.G. Road,BENGALURU,KARNATAKA,South,2025-04-19,9500,9500,MANYAVAR & MOHEY
Orion Mall,111,Orion Mall,BENGALURU,KARNATAKA,South,2025-04-19,3040,3040,MANYAVAR & MOHEY
Jayanagar,112,Jayanagar,BENGALURU,KARNATAKA,South,2025-04-19,5540,5540,MANYAVAR & MOHEY
CMH Road,113,CMH Road,BENGALURU,KARNATAKA,South,2025-04-19,2200,2200,MANYAVAR
DVG Road,114,DVG Road,BENGALURU,KARNATAKA,South,2025-04-19,1200,1200,MANYAVAR
Siliguri 2,10005,Sevok Road,SILIGURI,WEST BENGAL,East & NE,2025-04-01,1492,1492,MANYAVAR
