fy,month_idx,total
2023-24,1,27372859.0
2023-24,2,19995508.0
2023-24,3,14565315.0
2023-24,4,10980669.0
2023-24,5,9851940.0
2023-24,6,16824535.5
2023-24,7,34218840.0
2023-24,8,45606844.0
2023-24,9,28149190.0
2023-24,10,29541088.0
2023-24,11,25508266.0
2023-24,12,18079474.0
2024-25,1,25444087.0
2024-25,2,12588992.5
2024-25,3,16740656.0
2024-25,4,14541589.0
2024-25,5,12975465.15
2024-25,6,24492867.0
2024-25,7,47018624.1
2024-25,8,49487848.0
2024-25,9,34989750.0
2024-25,10,35797558.05
2024-25,11,34465313.0
2024-25,12,26324330.0
